#Thorlabs FTS
[SpectrumHeader]
#Date;20260828
#Time;9004789
#GMTTime;12004789
#Instrument;0
#InstrModel;CCS200
#Series;0
#InterferometerSerial;M00404267
#Type;emission
#ChannelIndex;0
#XAxisUnit;nm_vac
#YAxisUnit;intensity
#Average;1
#RollingAverage;0
#SpectrumSmooth;0
#SSmoothParam1;0
#SSmoothParam2;0
#SSmoothParam3;0
#SSmoothParam4;0
#IntegrationTime;60.000000
#TriggerMode;0
#AirMeasureOpt;0
#AirTemp;0.00
#AirPressure;0.00
#AirRelHum;0.00
#WnrMin;9799.268555
#WnrMax;51674.531250
#Length;3648
#Resolution;0.0000000000e+00
#ADC;0
#InstrStatus;0
#RefLaserLocked;0
#ChannelIndex;0
#AttenuationFilter;0
#Stitched;0
#ExcitationWavelength_nm;0
#SoftwareVersion;3.360000
#FirmwareVersion;
#Motor_FirmwareVersion;
#ReconstructionAlgorithms_SoftwareVersion;
#Sensor_FirmwareVersion;
#InstrSeriesIdentifier;MUN_CCS_SERIES
#RefGainIndex;0
#RefSignalInPerecent;0.0
#BBRefGainIndex;0
#BBRefSignalInPerecent;0.0
#AutogainStatus;0
#Name;
#Comment;""
#ExtComment;""
#Source;
[Data]
2.358931427e+02;4.792642780e-03
2.360994568e+02;4.578147084e-03
2.363058014e+02;5.623814184e-03
2.365121460e+02;8.090517484e-03
2.367185211e+02;5.623814184e-03
2.369248962e+02;4.578147084e-03
2.371313019e+02;6.776730064e-03
2.373377075e+02;7.098473608e-03
2.375441437e+02;6.133242045e-03
2.377505951e+02;4.497711081e-03
2.379570465e+02;3.425231436e-03
2.381635284e+02;4.363650922e-03
2.383700256e+02;3.612915287e-03
2.385765228e+02;6.025994197e-03
2.387830505e+02;4.283214919e-03
2.389895935e+02;7.178909611e-03
2.391961365e+02;4.310027231e-03
2.394027100e+02;5.677438341e-03
2.396092987e+02;4.417275079e-03
2.398159027e+02;6.106430199e-03
2.400225372e+02;5.328882486e-03
2.402291718e+02;5.838310346e-03
2.404358063e+02;4.256403074e-03
2.406424713e+02;4.095531069e-03
2.408491516e+02;2.915803576e-03
2.410558472e+02;5.704250187e-03
2.412625580e+02;4.095531069e-03
2.414692841e+02;3.023051657e-03
2.416760254e+02;6.454986054e-03
2.418827820e+02;5.275258794e-03
2.420895538e+02;2.728119725e-03
2.422963409e+02;4.631770775e-03
2.425031586e+02;4.041906912e-03
2.427099915e+02;5.677438341e-03
2.429168243e+02;4.256403074e-03
2.431236725e+02;5.677438341e-03
2.433305359e+02;5.731062498e-03
2.435374146e+02;4.175967071e-03
2.437443085e+02;3.157111583e-03
2.439512329e+02;5.302070640e-03
2.441581573e+02;3.773787292e-03
2.443650970e+02;5.248446483e-03
2.445720673e+02;4.524522927e-03
2.447790527e+02;5.462942645e-03
2.449860382e+02;6.776730064e-03
2.451930389e+02;5.489754491e-03
2.454000702e+02;4.015095066e-03
