# DRS4 export. File index 0, run_id=./medidas/run_20260911_121022
# Columns: t[ns] u1[mV] u2[mV] u3[mV]
Event #0  ts=2026-09-11 12:10:22.449  [SELECTED]
  t[ns]  u1[mV]  u2[mV]  u3[mV]
939.648   -19.9   -28.1   -11.4
941.309   -17.6   -15.0    -4.8
942.969    -9.3    -1.3     0.3
944.629    12.7    14.1    -5.1
946.289     1.2     5.9    -3.0
947.949   -14.1   -16.2    -8.4
949.609   -16.9   -26.5   -14.5
951.270   -12.0   -10.4     1.8
952.930    14.7    17.6    -7.4
954.590     5.8    14.6    -9.4
956.250    -9.5   -13.0    -1.0
957.910   -17.4   -19.3   -16.3
959.570   -17.9   -19.0   -10.5
961.230    -2.5    -9.5     6.6
962.891    13.2    18.9    -9.5
964.551     3.7    14.0   -10.4
966.211   -10.1   -20.7    -3.2
967.871   -12.4   -22.8    -6.8
969.531   -19.0   -15.4   -14.1
971.191    -1.3    -5.8     1.8
972.852     8.5    15.6    -6.3
974.512     7.8    12.6    -8.2
976.172   -14.8   -19.7    -6.0
977.832   -12.9   -18.1   -13.4
979.492   -12.2   -19.7   -13.2
981.152    -3.0     1.4     2.0
982.812     6.4    15.2     0.0
984.473    -6.2   -12.9    -3.6
986.133   -18.0   -15.5     2.6
987.793    -5.5   -14.8   -21.4
989.453   -19.2   -15.1    -6.9
991.113   -14.4    -3.0     5.0
992.773    13.8    14.4   -10.2
994.434   -12.5    -9.5     4.5
996.094   -10.2    -6.3     1.5
997.754    -7.7    -3.9    -6.0
999.414   -26.9   -16.8    -2.0
1001.074    -4.4     8.6     3.3
1002.734    14.5     2.9   -17.7
1004.395     5.0    -3.6   -16.5
1006.055   -12.2    -4.4     9.0
1007.715    -3.0   -16.8   -20.8
1009.375   -26.6   -21.3    -1.3
1011.035    -2.0     9.7     4.5
1012.695    13.0    11.5   -14.4
1014.355     0.6    -2.3   -11.5
1016.016    -5.9    -4.3     6.0
1017.676    -4.5   -18.0   -18.0
1019.336   -17.1   -30.1   -20.4
1020.996   -18.5    -9.0     0.3
1022.656     4.9     8.3    -4.1
1024.316     2.9     4.4   -11.3
1025.977    -1.7    -0.7    -3.3
1027.637    -9.4   -11.0    -7.0
1029.297   -18.5   -28.4    -7.5
1030.957    -1.7    10.4    -2.2
1032.617     1.4    10.9    -8.1
1034.277     4.8     5.8    -9.0
1035.938    -2.3     4.3    -3.8
1037.598   -11.3   -20.4    -6.2
1039.258   -20.9   -32.3    -5.0
1040.918   -20.5   -29.2    -4.2
1042.578     8.8    21.6    -5.3
1044.238     0.6     7.9    -6.1
1045.898    -2.0     5.8    -7.4
1047.559   -23.0   -33.3   -11.3
1049.219   -15.9   -30.6    -2.6
1050.879    -3.5   -14.9    -4.2
1052.539     8.2     9.9    -6.0
1054.199    -1.0    16.1    -6.5
1055.859    -7.9    -7.8   -17.1
1057.520   -23.6   -37.2   -16.3
1059.180   -10.6   -20.8     6.8
1060.840    -4.4   -14.3     6.2
1062.500     2.3    19.3    -3.8
1064.160    -6.0     9.1   -10.7
1065.820   -13.0    -2.8   -16.5
1067.480   -29.5   -45.9    -4.4
1069.141    -2.9   -16.1     6.5
1070.801    15.1    20.8    -9.5
1072.461     4.2    13.6    -4.9
1074.121    -5.6    -0.9   -14.3
1075.781   -23.1   -33.3   -24.8
1077.441   -32.1   -48.0   -12.6
1079.102   -14.7   -21.9    12.8
1080.762    14.8    17.7     1.2
1082.422     4.9    12.4    -8.6
1084.082    -6.5     5.8     0.1
1085.742   -20.8   -24.5   -20.5
1087.402   -26.7   -38.4    -6.4
1089.062    13.1    17.2     4.3
1090.723    16.8    21.9    -1.3
1092.383     1.1    11.9   -10.7
1094.043   -12.3     0.8    -0.9
1095.703   -14.1   -37.4   -18.0
1097.363   -15.6   -34.6   -18.1
1099.023    -2.2    11.2     3.0
1100.684    13.7    16.1    -8.7
1102.344    -5.1     0.9    -2.6
1104.004   -13.5    -6.5     0.9
1105.664   -10.1   -31.6   -16.9
1107.324   -15.1   -22.5   -12.0
1108.984    -9.5    11.8     1.6
1110.645     4.6     7.6   -13.8
1112.305   -13.5   -11.5     2.6
1113.965    -8.1   -13.6    -4.0
1115.625    -6.8   -21.0   -12.4
1117.285    -8.7    -2.1    -3.0
1118.945    -1.9    13.6    -9.3
1120.605     4.5    18.1   -13.1
1122.266   -11.0   -20.1     3.9
1123.926    -2.4   -16.4    -0.5
1125.586    -3.9   -13.3   -10.7
1127.246    -6.6     1.8    -4.2
1128.906    -3.0    11.5   -16.3
1130.566   -19.5    -8.9    -5.8
1132.227   -10.9   -24.0     4.5
1133.887     5.3   -17.0    -0.2
1135.547     0.8    -6.4    -8.3
1137.207    -3.9     5.9   -12.4
1138.867    -5.8    10.8   -13.7
1140.527   -15.4    -6.8   -10.7
1142.188    -7.0   -13.4     0.3
1143.848     3.1   -12.0    -2.1
1145.508    -1.3   -13.5    -0.9
1147.168    -3.4    -4.2    -3.1
1148.828    -2.8     7.6   -21.9
1150.488   -10.9    -4.8   -16.1
1152.148   -17.2    -9.5     2.4
1153.809     0.4    -3.3    -5.6
1155.469    -1.8   -16.5    -5.1
1157.129    -7.8    -2.4     3.3
1158.789    -2.9     7.8   -18.8
1160.449   -16.2   -14.8    -9.9
1162.109   -13.1    -1.1     6.4
1163.770    -8.2     3.3     4.9
1165.430   -10.4   -14.9     7.1
1167.090   -12.4   -15.3     8.0
1168.750     4.9     2.9   -19.6
1170.410   -19.8    -2.9    -2.1
1172.070   -18.8    -2.8    -2.1
1173.730    -6.1    -1.7    -2.9
1175.391   -14.4   -20.7   -10.9
1177.051     5.3   -10.7     5.4
1178.711     9.0     1.3    -6.0
1180.371   -10.6     5.8   -15.6
1182.031   -14.2     5.3    -9.9
1183.691    -8.8    -4.5   -10.3
1185.352   -12.4   -21.1    -8.9
1187.012     2.2   -17.1     5.0
1188.672    13.1    -1.3     2.7
