# DRS4 export. File index 0, run_id=./medidas/run_20260925_105124
# Columns: t[ns] u1[mV] u2[mV] u3[mV]
Event #2  ts=2026-09-25 10:51:28.194  [SELECTED]
  t[ns]  u1[mV]  u2[mV]  u3[mV]
534.570    -4.7    13.5     7.1
536.230   -12.4     4.9    -5.7
537.891   -16.5   -42.5   -36.5
539.551    -4.1    -2.5    16.1
541.211    -8.5     6.5    14.5
542.871     1.5    -4.9   -25.3
544.531    -3.1    -5.0    -4.5
546.191   -12.7     1.2    -6.7
547.852   -13.3   -21.9   -24.8
549.512     5.8    -3.7     7.4
551.172    -0.9     9.5    -5.2
552.832    -5.5     8.0   -16.3
554.492   -10.2     0.2   -10.6
556.152   -14.7     0.0     7.0
557.812   -10.5   -23.8   -26.8
559.473     4.1   -20.7     0.0
561.133     3.3     6.3     3.7
562.793    -3.6     5.4   -18.5
564.453   -10.4     2.0   -22.3
566.113   -17.4    -0.7    -1.6
567.773   -12.0   -31.7   -36.9
569.434     6.4    -4.5    21.9
571.094     8.3    14.6     6.9
572.754     3.9    14.4     0.9
574.414   -25.3    -4.1   -18.5
576.074   -30.0    -2.7     4.1
577.734   -23.8   -12.2    -6.7
579.395     9.6   -25.3    -8.9
581.055    -1.9    18.2     4.3
582.715    -2.6    15.0    -8.9
584.375   -27.0    -9.8   -21.2
586.035   -32.3   -12.1   -12.3
587.695    -9.6   -22.2    -7.9
589.355    12.5   -27.5   -13.7
591.016    17.9    -8.4    -0.5
592.676    -1.7    19.0     4.8
594.336   -18.6     7.7   -20.7
595.996   -26.3   -18.5   -19.1
597.656    -8.9   -20.5    -7.6
599.316    -9.2   -20.5    -7.0
600.977    21.0    -7.1    -2.3
602.637   -10.9     8.5    -4.9
604.297   -24.7     1.1   -24.3
605.957   -23.8   -15.8   -14.2
607.617   -13.4   -21.8    -8.2
609.277     8.8   -21.9   -14.2
610.938    23.2    -6.8     0.8
612.598   -17.1    11.3    -8.6
614.258   -27.2    -5.6   -39.3
615.918   -29.1   -18.0   -17.8
617.578   -15.6   -13.3     7.1
619.238     9.1   -21.0   -14.4
620.898     0.4    27.4    16.5
622.559   -21.4    21.8     1.8
624.219   -37.7   -23.6   -39.8
625.879   -33.2   -31.4   -39.4
627.539    -7.9   -15.7     6.7
629.199    30.2   -13.6   -13.3
630.859     5.9    10.8     9.6
632.520   -17.9    20.2     7.3
634.180   -29.8   -16.2   -32.3
635.840   -30.1   -34.5   -22.5
637.500    10.4   -13.8    -3.7
639.160    25.9    -8.6    -1.7
640.820    29.2     1.7     1.2
642.480   -15.3    16.5    -3.5
644.141   -39.0   -21.1   -26.0
